     Scat angle      F11             F12            F22           F33             F43            F44
   0.000000E+00   0.167575E+01   0.000000E+00   0.167296E+01   0.167296E+01   0.000000E+00   0.167018E+01
   0.100000E-01   0.167575E+01  -0.628781E-06   0.167296E+01   0.167296E+01   0.326227E-10   0.167018E+01
   0.200000E-01   0.167574E+01  -0.125756E-05   0.167296E+01   0.167296E+01   0.652454E-10   0.167018E+01
   0.300000E-01   0.167574E+01  -0.188634E-05   0.167296E+01   0.167296E+01   0.978681E-10   0.167018E+01
   0.400000E-01   0.167574E+01  -0.251512E-05   0.167296E+01   0.167296E+01   0.130491E-09   0.167018E+01
   0.500000E-01   0.167574E+01  -0.314390E-05   0.167296E+01   0.167296E+01   0.163113E-09   0.167018E+01
   0.600000E-01   0.167574E+01  -0.377268E-05   0.167295E+01   0.167295E+01   0.195736E-09   0.167018E+01
   0.700000E-01   0.167574E+01  -0.440146E-05   0.167295E+01   0.167295E+01   0.228359E-09   0.167018E+01
   0.800000E-01   0.167574E+01  -0.503024E-05   0.167295E+01   0.167295E+01   0.260981E-09   0.167018E+01
   0.900000E-01   0.167574E+01  -0.565901E-05   0.167295E+01   0.167295E+01   0.293604E-09   0.167017E+01
   0.100000E+00   0.167574E+01  -0.628779E-05   0.167295E+01   0.167295E+01   0.326226E-09   0.167017E+01
   0.110000E+00   0.167574E+01  -0.691657E-05   0.167295E+01   0.167295E+01   0.358849E-09   0.167017E+01
   0.120000E+00   0.167574E+01  -0.754534E-05   0.167295E+01   0.167295E+01   0.391471E-09   0.167017E+01
   0.130000E+00   0.167574E+01  -0.817411E-05   0.167295E+01   0.167295E+01   0.424093E-09   0.167017E+01
   0.140000E+00   0.167574E+01  -0.880289E-05   0.167295E+01   0.167295E+01   0.456716E-09   0.167017E+01
   0.150000E+00   0.167573E+01  -0.943167E-05   0.167295E+01   0.167295E+01   0.489338E-09   0.167017E+01
   0.160000E+00   0.167573E+01  -0.100604E-04   0.167295E+01   0.167295E+01   0.521960E-09   0.167017E+01
   0.170000E+00   0.167573E+01  -0.106892E-04   0.167295E+01   0.167295E+01   0.554583E-09   0.167017E+01
   0.180000E+00   0.167573E+01  -0.113180E-04   0.167295E+01   0.167295E+01   0.587205E-09   0.167017E+01
   0.190000E+00   0.167573E+01  -0.119468E-04   0.167295E+01   0.167295E+01   0.619827E-09   0.167017E+01
   0.200000E+00   0.167573E+01  -0.125755E-04   0.167295E+01   0.167295E+01   0.652450E-09   0.167017E+01
